Disease,Temperature (°C),Humidity (%),Rainfall (mm),Cloud Cover (%),Wind Speed (km/h),Leaf Wetness (hrs),Risk Label
Early Blight,25.3,69.6,1.3,57.4,8.1,9.1,Moderate Risk
Early Blight,27.1,72.8,9.1,82.1,7.1,9.3,Moderate Risk
Early Blight,31.8,76.9,5.2,68.3,5.3,9.6,Moderate Risk
Early Blight,26.1,74.9,6.7,69.3,8.0,7.2,Moderate Risk
Early Blight,29.3,84.8,6.9,55.3,11.5,6.6,Moderate Risk
Early Blight,26.6,67.7,9.1,53.2,14.4,7.9,Moderate Risk
Early Blight,30.2,78.9,6.7,79.1,13.7,6.9,Moderate Risk
Early Blight,25.0,73.1,6.5,69.9,12.7,8.0,Moderate Risk
Early Blight,31.8,73.6,1.6,67.5,12.9,8.5,Moderate Risk
Early Blight,27.6,79.4,5.7,79.2,11.6,8.4,Moderate Risk
Early Blight,25.9,78.8,2.4,80.6,7.6,6.9,Moderate Risk
Early Blight,24.6,84.8,7.6,56.4,14.1,5.8,Moderate Risk
Early Blight,25.4,67.6,5.6,74.4,11.7,7.2,Moderate Risk
Early Blight,28.2,67.1,7.1,55.4,10.6,5.7,Moderate Risk
Early Blight,26.7,79.5,1.4,80.1,6.1,9.5,Moderate Risk
Early Blight,30.6,76.6,1.8,76.3,9.5,6.7,Moderate Risk
Early Blight,27.4,70.5,7.4,88.3,9.6,5.8,Moderate Risk
Early Blight,26.0,66.6,1.6,52.8,13.6,5.1,Moderate Risk
Early Blight,28.9,66.7,1.6,52.3,10.5,8.2,Moderate Risk
Early Blight,29.7,82.9,1.1,61.3,8.8,8.2,Moderate Risk
Common Scab,22.0,62.6,1.6,30.2,13.3,0.1,High Risk
Common Scab,20.4,51.1,1.8,33.9,12.5,0.2,High Risk
Common Scab,22.5,65.0,1.9,17.5,7.9,2.0,High Risk
Common Scab,21.9,56.4,1.9,28.7,17.9,0.7,High Risk
Common Scab,24.1,50.0,1.0,27.2,15.2,1.5,High Risk
Common Scab,23.6,60.2,2.0,35.0,17.6,1.6,High Risk
Common Scab,22.2,50.9,1.5,37.2,17.9,1.7,High Risk
Common Scab,21.3,55.5,0.3,10.4,16.2,2.0,High Risk
Common Scab,25.9,64.1,1.0,30.2,11.6,0.5,High Risk
Common Scab,22.7,51.3,1.4,11.6,14.2,0.1,High Risk
Common Scab,24.1,66.8,0.5,26.5,7.4,0.8,High Risk
Common Scab,20.8,50.1,1.3,18.6,15.1,0.3,High Risk
Common Scab,22.9,54.9,1.3,19.2,7.7,0.0,High Risk
Common Scab,20.2,64.8,0.3,20.6,15.4,0.7,High Risk
Common Scab,23.0,56.3,1.1,28.6,8.4,1.6,High Risk
Common Scab,25.8,52.0,1.5,20.0,6.8,1.1,High Risk
Common Scab,22.3,57.2,1.0,32.0,7.5,0.6,High Risk
Common Scab,20.2,55.4,0.0,22.1,5.0,1.3,High Risk
Common Scab,20.2,66.9,0.0,12.1,15.8,0.5,High Risk
Common Scab,22.3,56.3,0.7,33.5,16.0,0.0,High Risk
Common Scab,21.0,65.8,1.9,18.6,12.7,1.5,High Risk
Common Scab,20.1,67.8,0.5,23.0,7.4,1.2,High Risk
Common Scab,24.5,58.7,1.3,30.6,6.3,1.5,High Risk
Common Scab,22.8,68.2,0.4,20.0,5.3,0.1,High Risk
Common Scab,21.7,57.5,0.6,11.7,7.5,1.7,High Risk
Common Scab,25.4,69.3,1.7,21.2,18.4,1.2,High Risk
Common Scab,20.7,51.8,1.5,38.3,8.6,1.1,High Risk
Common Scab,25.7,63.7,0.2,29.3,10.3,1.2,High Risk
Common Scab,21.9,59.9,0.9,30.1,6.6,1.7,High Risk
Common Scab,25.3,57.8,0.1,29.0,8.3,1.2,High Risk
Common Scab,23.6,62.7,1.0,16.0,12.8,1.2,High Risk
Common Scab,25.0,64.1,1.3,22.6,14.1,2.0,High Risk
Common Scab,25.9,50.1,0.2,32.5,8.7,1.5,High Risk
Common Scab,21.7,53.3,0.6,13.0,5.9,0.9,High Risk
Common Scab,25.8,64.3,0.8,18.3,10.9,1.4,High Risk
Common Scab,22.3,63.3,1.8,18.3,8.5,0.8,High Risk
Common Scab,22.3,69.3,2.0,23.0,8.3,0.5,High Risk
Common Scab,22.0,65.2,0.1,39.4,19.4,1.2,High Risk
Common Scab,23.2,69.0,1.5,12.0,14.2,1.9,High Risk
Common Scab,20.9,64.1,0.7,25.6,13.4,1.9,High Risk
Common Scab,23.3,56.0,0.8,15.4,11.2,0.7,High Risk
Common Scab,23.3,52.1,1.5,39.1,11.4,1.1,High Risk
Common Scab,24.6,65.6,1.8,13.4,13.1,0.4,High Risk
Common Scab,25.0,62.9,1.9,22.1,15.4,2.0,High Risk
Common Scab,22.6,51.0,1.2,32.1,15.5,2.0,High Risk
Common Scab,21.8,57.2,0.7,31.1,7.6,1.3,High Risk
Common Scab,21.6,69.1,1.6,22.7,12.5,1.6,High Risk
Common Scab,21.2,60.0,0.5,20.4,11.2,1.4,High Risk
Common Scab,20.3,58.7,1.1,21.9,18.1,1.2,High Risk
Common Scab,22.1,59.2,0.7,17.9,14.5,0.1,High Risk
Common Scab,21.6,54.2,1.3,16.2,13.0,0.9,High Risk
Common Scab,25.8,57.4,0.5,24.5,6.7,1.3,High Risk
Common Scab,23.3,57.4,0.4,18.1,14.1,1.4,High Risk
Common Scab,22.1,51.0,1.8,18.6,6.8,0.7,High Risk
Common Scab,23.5,65.4,0.2,29.7,10.1,1.9,High Risk
Common Scab,20.8,58.3,1.0,39.1,7.1,0.3,High Risk
Common Scab,22.7,66.4,0.4,28.1,15.4,1.0,High Risk
Common Scab,23.8,67.0,0.1,12.3,8.1,1.4,High Risk
Common Scab,22.9,54.2,0.1,12.3,10.9,1.4,High Risk
Common Scab,22.4,63.1,0.4,38.5,18.4,1.3,High Risk
Common Scab,26.0,59.4,1.7,18.9,8.1,0.6,High Risk
Common Scab,25.3,67.6,0.6,12.8,12.6,0.3,High Risk
Common Scab,23.7,54.3,1.9,28.0,11.3,1.3,High Risk
Common Scab,23.4,63.6,1.2,28.7,5.3,1.2,High Risk
Common Scab,23.7,62.2,0.9,29.5,16.9,0.4,High Risk
Common Scab,21.2,55.9,1.2,18.0,6.0,1.4,High Risk
Common Scab,22.4,52.7,1.0,10.5,12.1,0.9,High Risk
Common Scab,20.2,63.0,1.5,39.0,13.4,1.3,High Risk
Common Scab,22.9,64.8,0.6,17.5,14.4,1.7,High Risk
Common Scab,23.3,56.3,0.7,30.3,15.3,0.3,High Risk
Common Scab,21.4,62.9,1.8,31.2,8.8,0.0,High Risk
Common Scab,25.8,57.9,1.9,28.3,5.1,1.6,High Risk
Common Scab,25.5,64.3,1.8,19.4,15.9,1.2,High Risk
Common Scab,24.3,54.0,0.8,18.1,13.0,1.4,High Risk
Common Scab,23.2,67.8,1.6,27.9,17.5,1.7,High Risk
Common Scab,25.2,55.7,1.0,36.0,17.3,1.6,High Risk
Common Scab,20.8,57.4,1.0,38.4,17.6,1.9,High Risk
Common Scab,24.7,51.2,0.4,13.2,12.3,1.1,High Risk
Common Scab,20.7,52.2,1.2,14.6,10.0,1.0,High Risk
Common Scab,24.8,60.3,0.4,38.3,16.9,0.8,High Risk
Common Scab,21.7,55.4,0.7,32.1,11.8,0.3,High Risk
Common Scab,25.3,66.7,1.7,36.5,7.8,1.1,High Risk
Common Scab,25.7,50.3,0.4,16.1,17.8,0.6,High Risk
Common Scab,20.9,57.6,0.1,27.6,18.2,1.8,High Risk
Common Scab,22.8,56.7,0.1,31.0,12.0,1.2,High Risk
Common Scab,25.9,50.4,1.9,30.4,6.1,1.2,High Risk
Common Scab,22.9,52.5,1.0,22.2,10.8,0.7,High Risk
Common Scab,25.2,58.3,0.8,10.5,17.1,0.1,High Risk
Common Scab,23.5,59.9,1.6,27.5,18.5,0.1,High Risk
Common Scab,22.3,58.1,1.7,17.6,8.1,0.8,High Risk
Common Scab,21.7,60.6,0.7,23.5,6.0,0.2,High Risk
Common Scab,21.2,61.9,1.4,38.7,18.2,1.2,High Risk
Common Scab,24.6,50.2,1.5,22.0,10.8,1.8,High Risk
Common Scab,22.3,59.3,1.3,35.2,13.1,1.8,High Risk
Common Scab,23.1,69.3,0.3,15.7,19.5,1.3,High Risk
Common Scab,23.0,60.4,1.8,30.2,6.0,0.4,High Risk
Common Scab,23.5,63.6,1.1,39.3,14.7,1.7,High Risk
Common Scab,25.2,56.2,0.6,13.1,6.1,1.8,High Risk
Common Scab,25.9,65.5,0.9,10.2,10.6,0.4,High Risk
Common Scab,22.4,65.5,0.1,23.0,17.1,1.5,High Risk
Common Scab,25.0,60.4,0.3,12.8,11.5,0.6,High Risk
Common Scab,24.6,69.5,1.5,32.5,20.0,1.6,High Risk
Common Scab,23.4,52.5,0.0,37.4,13.4,2.0,High Risk
Common Scab,25.7,50.3,0.8,23.0,9.8,0.1,High Risk
Common Scab,21.2,65.4,1.0,17.8,8.3,1.8,High Risk
Common Scab,20.7,66.1,0.1,23.0,10.3,1.2,High Risk
Common Scab,25.1,52.4,1.9,31.7,10.6,1.9,High Risk
Common Scab,22.6,55.3,0.5,10.3,6.0,0.9,High Risk
Common Scab,25.1,50.4,0.6,27.7,10.5,1.7,High Risk
Common Scab,25.4,55.9,0.6,28.4,12.0,0.1,High Risk
Common Scab,20.4,65.5,0.5,29.1,15.8,0.7,High Risk
Common Scab,25.3,60.4,0.0,17.3,14.9,0.1,High Risk
Common Scab,22.7,57.0,1.5,31.4,15.6,2.0,High Risk
Common Scab,23.1,57.4,1.9,12.7,5.1,1.6,High Risk
Common Scab,23.8,50.0,0.4,16.0,8.3,1.7,High Risk
Common Scab,25.6,56.0,1.3,36.3,14.9,1.9,High Risk
Common Scab,20.1,62.9,1.5,32.2,12.3,0.2,High Risk
Common Scab,22.9,69.5,1.7,10.4,5.1,0.8,High Risk
Common Scab,24.1,66.9,0.8,17.5,17.1,0.1,High Risk
Common Scab,24.3,50.5,0.6,16.4,16.6,0.4,High Risk
Common Scab,24.2,68.0,0.7,18.1,13.2,0.5,High Risk
Common Scab,20.8,65.7,1.4,17.4,6.0,0.9,High Risk
Common Scab,21.8,65.6,1.6,11.9,16.5,0.5,High Risk
Common Scab,22.2,59.2,0.4,23.8,13.8,0.2,High Risk
Common Scab,24.8,58.0,0.7,32.0,16.7,0.3,High Risk
Common Scab,21.7,56.1,1.8,28.2,16.3,0.3,High Risk
Common Scab,21.3,51.3,1.6,30.2,17.0,1.9,High Risk
Common Scab,25.7,54.6,2.0,12.4,12.8,1.5,High Risk
Common Scab,20.1,54.9,1.5,38.5,7.1,1.9,High Risk
Common Scab,26.0,59.7,0.8,35.2,15.1,0.9,High Risk
Common Scab,24.1,64.9,1.2,34.2,14.3,0.6,High Risk
Common Scab,25.0,59.5,1.3,34.7,16.1,1.6,High Risk
Common Scab,21.8,51.2,0.2,38.0,7.5,0.7,High Risk
Common Scab,20.1,69.2,1.1,26.3,7.9,0.6,High Risk
Common Scab,24.4,68.9,1.4,16.0,18.4,0.5,High Risk
Common Scab,25.0,65.7,0.3,28.5,16.2,0.3,High Risk
Common Scab,24.4,69.8,1.6,32.3,18.6,0.5,High Risk
Common Scab,20.9,60.9,1.2,32.1,16.4,0.7,High Risk
Common Scab,24.5,69.3,1.9,25.6,14.0,1.3,High Risk
Common Scab,24.6,51.5,0.1,12.1,14.8,0.1,High Risk
Common Scab,24.0,57.3,0.5,21.1,18.3,0.4,High Risk
Common Scab,24.6,54.5,1.2,37.6,13.7,1.6,High Risk
Common Scab,25.1,53.9,0.6,27.5,14.5,0.3,High Risk
Common Scab,23.7,52.8,1.4,26.1,7.3,0.7,High Risk
Common Scab,20.5,62.4,1.5,18.1,12.1,1.7,High Risk
Common Scab,22.9,65.6,0.2,21.1,15.7,0.3,High Risk
Common Scab,20.5,61.6,1.0,36.9,9.1,0.2,High Risk
Common Scab,22.4,52.9,1.0,30.0,8.0,1.0,High Risk
Common Scab,22.4,66.2,0.7,33.6,9.7,0.6,High Risk
Common Scab,20.4,62.7,1.9,23.6,8.6,1.1,High Risk
Common Scab,22.1,57.8,1.7,28.9,8.2,1.6,High Risk
Common Scab,20.7,63.5,1.4,17.5,11.4,0.3,High Risk
Common Scab,24.8,55.2,1.4,31.2,18.6,1.2,High Risk
Common Scab,25.7,56.9,0.9,22.8,12.6,1.0,High Risk
Common Scab,20.4,68.3,1.8,23.3,7.8,0.3,High Risk
Common Scab,25.7,55.8,1.4,29.5,6.2,1.2,High Risk
Common Scab,23.1,59.4,1.5,38.1,15.4,0.5,High Risk
Common Scab,21.8,67.8,1.7,11.9,10.7,1.0,High Risk
Common Scab,20.5,64.2,0.5,34.7,17.3,0.2,High Risk
Common Scab,23.0,51.2,1.6,18.8,14.9,0.9,High Risk
Common Scab,24.8,52.9,0.4,23.3,16.9,0.6,High Risk
Common Scab,24.2,50.2,0.7,10.7,9.1,1.6,High Risk
Common Scab,20.3,62.6,0.7,19.0,15.4,0.1,High Risk
Common Scab,20.4,59.0,2.0,25.1,9.0,0.8,High Risk
Common Scab,22.4,52.7,1.7,11.7,19.1,0.9,High Risk
Common Scab,21.8,69.2,1.4,24.7,14.5,1.5,High Risk
Common Scab,21.4,60.6,1.5,37.8,9.9,1.1,High Risk
Common Scab,21.7,54.8,1.1,13.2,9.0,1.3,High Risk
Common Scab,24.8,60.0,1.9,32.9,7.9,1.6,High Risk
Common Scab,25.6,63.6,1.0,22.3,15.4,1.7,High Risk
Common Scab,22.4,51.5,0.8,29.7,8.3,0.6,High Risk
Common Scab,25.4,55.5,0.3,17.8,13.9,1.1,High Risk
Common Scab,21.9,66.1,1.6,14.8,9.0,1.7,High Risk
Common Scab,22.9,59.2,1.5,14.8,14.9,2.0,High Risk
Common Scab,21.4,60.9,0.8,12.1,17.2,1.8,High Risk
Common Scab,23.8,58.7,0.1,15.6,16.7,0.7,High Risk
Common Scab,25.9,50.9,1.7,29.9,16.4,0.4,High Risk
Common Scab,23.6,53.3,0.0,36.5,7.8,1.0,High Risk
Common Scab,22.1,58.9,1.4,34.4,6.3,1.5,High Risk
Common Scab,23.9,54.2,1.9,30.6,15.5,1.0,High Risk
Common Scab,20.7,51.0,0.9,13.3,10.5,1.0,High Risk
Common Scab,25.3,66.9,0.5,18.7,11.5,1.7,High Risk
Common Scab,23.0,69.6,1.4,19.3,5.5,0.7,High Risk
Common Scab,22.7,65.9,1.6,17.5,8.9,1.7,High Risk
Common Scab,23.5,67.1,1.1,25.5,5.5,0.8,High Risk
Common Scab,23.7,54.8,1.9,26.1,18.2,0.7,High Risk
Common Scab,20.4,69.2,0.1,20.7,8.7,0.9,High Risk
Common Scab,24.1,53.9,1.0,20.6,13.4,1.5,High Risk
Common Scab,21.5,69.0,1.4,34.9,5.6,0.3,High Risk
Common Scab,24.3,69.9,1.7,33.7,15.0,0.4,High Risk
Common Scab,24.9,64.2,0.4,19.2,9.8,1.9,High Risk
Common Scab,24.8,69.6,1.6,37.4,18.5,0.4,High Risk
Common Scab,23.3,61.4,1.1,38.6,18.3,1.1,High Risk
Common Scab,23.1,55.2,0.8,19.8,9.9,1.2,High Risk
Common Scab,20.9,58.7,0.3,20.6,18.5,1.0,High Risk
Common Scab,24.7,61.9,1.7,25.2,19.9,1.3,High Risk
Common Scab,21.6,51.5,0.3,38.2,17.4,0.5,High Risk
Common Scab,23.0,62.4,0.6,36.3,17.7,1.1,High Risk
Common Scab,21.7,69.6,0.6,13.1,8.7,0.7,High Risk
Common Scab,20.8,53.8,1.7,21.8,13.7,1.3,High Risk
Bacterial Wilt,26.4,89.4,13.6,94.0,1.2,8.4,High Risk
Bacterial Wilt,30.7,99.1,17.1,67.8,5.2,12.5,High Risk
Bacterial Wilt,26.9,97.3,16.4,65.0,2.5,13.4,High Risk
Bacterial Wilt,27.8,99.8,7.3,98.5,3.6,9.6,High Risk
Bacterial Wilt,27.2,88.9,7.2,64.3,9.9,12.3,High Risk
Bacterial Wilt,26.8,99.5,9.0,79.1,6.8,13.3,High Risk
Bacterial Wilt,33.3,91.5,10.4,83.4,9.5,12.9,High Risk
Bacterial Wilt,27.9,90.2,11.1,81.7,1.4,8.3,High Risk
Bacterial Wilt,34.3,85.8,15.2,63.4,3.8,13.7,High Risk
Bacterial Wilt,34.7,85.8,5.9,62.3,5.5,9.6,High Risk
Bacterial Wilt,30.7,95.4,5.5,64.2,0.8,9.4,High Risk
Bacterial Wilt,26.4,91.9,10.9,83.4,0.0,7.4,High Risk
Bacterial Wilt,28.7,88.4,15.5,81.8,6.7,10.4,High Risk
Bacterial Wilt,33.0,94.2,7.9,69.3,6.4,7.8,High Risk
Bacterial Wilt,28.7,88.8,14.6,85.5,4.1,8.7,High Risk
Bacterial Wilt,25.9,93.7,8.9,92.8,4.9,9.2,High Risk
Bacterial Wilt,30.6,90.4,18.3,61.7,4.2,12.7,High Risk
Bacterial Wilt,33.5,97.4,18.4,79.9,0.2,13.1,High Risk
Bacterial Wilt,33.0,97.3,9.5,87.6,3.4,9.1,High Risk
Bacterial Wilt,26.8,92.2,8.4,70.1,1.8,13.0,High Risk
Bacterial Wilt,31.7,90.3,11.2,72.3,1.0,13.0,High Risk
Bacterial Wilt,27.2,90.4,8.6,84.5,9.6,12.4,High Risk
Bacterial Wilt,27.2,97.1,15.1,95.9,6.0,8.0,High Risk
Bacterial Wilt,33.7,89.9,17.4,92.4,7.3,11.8,High Risk
Bacterial Wilt,27.5,88.1,15.1,83.3,3.2,13.6,High Risk
Bacterial Wilt,27.6,86.3,17.4,89.2,3.9,11.8,High Risk
Bacterial Wilt,25.0,92.0,11.0,74.6,2.4,9.3,High Risk
Bacterial Wilt,33.7,92.2,7.3,85.6,1.0,10.5,High Risk
Bacterial Wilt,32.9,97.6,16.1,78.6,1.8,11.5,High Risk
Bacterial Wilt,31.3,88.3,10.4,67.6,8.0,10.6,High Risk
Bacterial Wilt,32.5,90.7,15.1,88.1,6.8,7.8,High Risk
Bacterial Wilt,26.5,97.1,9.1,82.3,5.5,9.2,High Risk
Bacterial Wilt,29.6,97.4,6.2,74.3,4.8,12.6,High Risk
Bacterial Wilt,28.5,90.8,19.9,96.5,9.2,13.0,High Risk
Bacterial Wilt,25.9,91.9,7.3,60.8,0.7,8.0,High Risk
Bacterial Wilt,29.9,89.5,19.8,72.6,2.8,13.7,High Risk
Bacterial Wilt,34.2,99.0,19.7,62.3,3.5,9.3,High Risk
Bacterial Wilt,25.4,86.8,16.9,90.7,7.8,11.6,High Risk
Bacterial Wilt,27.9,99.0,14.9,88.1,9.9,12.3,High Risk
Bacterial Wilt,27.1,95.3,13.7,73.3,2.4,12.7,High Risk
Bacterial Wilt,27.4,93.0,18.0,87.0,8.7,13.6,High Risk
Bacterial Wilt,34.1,85.5,9.3,75.8,8.3,9.2,High Risk
Bacterial Wilt,29.7,92.1,12.0,90.3,2.2,13.0,High Risk
Bacterial Wilt,29.7,91.1,14.3,78.2,4.0,7.9,High Risk
Bacterial Wilt,32.6,87.4,11.2,76.5,4.1,11.9,High Risk
Bacterial Wilt,26.5,94.8,11.4,97.4,9.8,12.2,High Risk
Bacterial Wilt,29.9,99.6,10.0,70.0,1.8,11.7,High Risk
Bacterial Wilt,29.3,93.4,13.5,64.8,8.0,8.8,High Risk
Bacterial Wilt,31.0,95.7,17.8,83.4,3.3,13.1,High Risk
Bacterial Wilt,35.0,86.0,8.0,98.8,7.3,8.2,High Risk
Bacterial Wilt,32.7,91.3,19.0,75.1,4.2,7.4,High Risk
Bacterial Wilt,29.0,86.7,15.3,62.5,5.8,12.0,High Risk
Bacterial Wilt,33.3,94.2,17.3,73.6,8.3,10.3,High Risk
Bacterial Wilt,26.7,99.1,13.3,80.2,8.0,12.9,High Risk
Bacterial Wilt,25.3,94.9,16.7,66.5,8.7,9.7,High Risk
Bacterial Wilt,27.0,86.2,5.2,86.3,0.6,8.2,High Risk
Bacterial Wilt,28.4,90.3,17.3,99.9,6.9,12.9,High Risk
Bacterial Wilt,30.1,93.3,5.6,78.1,1.4,10.8,High Risk
Bacterial Wilt,31.2,91.0,18.3,74.2,4.2,8.3,High Risk
Bacterial Wilt,34.1,97.5,19.9,76.0,5.5,12.0,High Risk
Bacterial Wilt,30.1,97.2,9.4,64.6,4.0,10.6,High Risk
Bacterial Wilt,30.0,94.2,8.2,95.3,5.2,11.2,High Risk
Bacterial Wilt,25.5,90.6,16.5,76.6,10.0,10.2,High Risk
Bacterial Wilt,25.3,88.8,8.8,75.5,1.4,12.8,High Risk
Bacterial Wilt,30.5,86.6,18.0,86.4,6.8,12.8,High Risk
Bacterial Wilt,29.4,90.3,6.5,77.7,4.0,12.0,High Risk
Bacterial Wilt,33.4,91.2,6.9,85.9,1.3,7.7,High Risk
Bacterial Wilt,26.6,95.1,19.7,62.5,1.6,12.9,High Risk
Bacterial Wilt,25.2,94.9,15.1,92.5,9.5,11.7,High Risk
Bacterial Wilt,29.5,86.1,17.7,97.6,8.8,11.9,High Risk
Bacterial Wilt,27.4,90.9,9.9,86.0,9.1,9.5,High Risk
Bacterial Wilt,25.5,87.7,15.1,98.2,9.9,13.2,High Risk
Bacterial Wilt,32.2,87.4,13.9,66.1,2.1,12.1,High Risk
Bacterial Wilt,26.1,97.4,14.0,79.1,3.6,7.8,High Risk
Bacterial Wilt,31.1,85.6,15.2,84.1,6.7,9.9,High Risk
Bacterial Wilt,27.8,91.3,13.6,83.3,4.8,13.2,High Risk
Bacterial Wilt,26.7,87.5,11.4,76.1,4.2,7.3,High Risk
Bacterial Wilt,28.8,98.2,9.1,73.5,3.6,13.7,High Risk
Bacterial Wilt,33.0,93.4,16.5,65.1,5.9,11.8,High Risk
Bacterial Wilt,28.9,88.5,8.4,75.7,5.8,11.4,High Risk
Bacterial Wilt,32.5,92.5,15.4,66.5,1.6,8.9,High Risk
Bacterial Wilt,26.3,96.0,8.5,89.4,4.7,8.7,High Risk
Bacterial Wilt,32.7,99.4,14.4,68.4,5.5,13.6,High Risk
Bacterial Wilt,27.4,88.3,16.2,62.3,5.7,9.1,High Risk
Bacterial Wilt,31.8,98.3,8.3,82.1,2.1,12.4,High Risk
Bacterial Wilt,30.7,99.0,5.9,83.8,7.4,9.8,High Risk
Bacterial Wilt,34.3,98.7,7.0,94.9,0.3,8.0,High Risk
Bacterial Wilt,28.9,94.5,14.1,83.1,3.5,7.1,High Risk
Bacterial Wilt,25.7,94.4,17.7,73.8,7.8,10.8,High Risk
Bacterial Wilt,25.2,91.0,5.7,92.1,5.6,13.8,High Risk
Bacterial Wilt,33.3,96.3,16.0,81.6,2.6,9.6,High Risk
Bacterial Wilt,30.2,93.0,10.1,63.2,6.9,9.5,High Risk
Bacterial Wilt,32.8,95.2,12.2,82.6,5.7,9.4,High Risk
Bacterial Wilt,27.3,91.4,18.9,96.3,8.0,10.6,High Risk
Bacterial Wilt,28.5,96.0,10.0,75.9,7.4,10.1,High Risk
Bacterial Wilt,25.3,97.4,12.0,71.9,6.1,13.2,High Risk
Bacterial Wilt,34.6,87.2,5.2,65.7,4.9,10.5,High Risk
Bacterial Wilt,31.7,97.5,6.2,66.1,1.3,10.6,High Risk
Bacterial Wilt,34.3,93.1,8.9,77.3,2.6,8.0,High Risk
Bacterial Wilt,27.7,97.7,5.4,83.8,4.2,13.9,High Risk
Bacterial Wilt,31.1,91.5,14.5,63.2,6.0,8.7,High Risk
Bacterial Wilt,31.8,90.7,11.4,97.6,5.1,7.5,High Risk
Bacterial Wilt,28.2,98.7,13.2,90.2,2.9,11.6,High Risk
Bacterial Wilt,33.5,88.8,7.6,83.5,0.1,11.2,High Risk
Bacterial Wilt,34.5,97.7,9.4,93.1,5.0,9.9,High Risk
Bacterial Wilt,33.8,92.3,15.0,63.2,2.9,10.0,High Risk
Bacterial Wilt,32.4,92.7,19.5,79.1,7.3,12.5,High Risk
Bacterial Wilt,27.8,89.6,5.8,85.2,0.2,8.4,High Risk
Bacterial Wilt,27.8,93.6,18.4,93.1,5.8,12.7,High Risk
Bacterial Wilt,34.6,89.9,13.7,91.3,9.4,11.5,High Risk
Bacterial Wilt,25.1,85.6,13.5,71.1,1.7,9.9,High Risk
Bacterial Wilt,32.2,89.1,12.5,97.6,4.7,10.2,High Risk
Bacterial Wilt,32.1,85.1,6.0,65.0,0.9,8.8,High Risk
Bacterial Wilt,31.2,99.7,6.3,95.0,6.3,12.3,High Risk
Bacterial Wilt,34.9,99.5,14.0,98.8,5.5,10.6,High Risk
Bacterial Wilt,28.1,90.9,10.1,67.1,4.1,9.2,High Risk
Bacterial Wilt,28.4,95.9,18.8,88.9,5.2,11.2,High Risk
Bacterial Wilt,25.8,90.2,11.1,61.6,9.0,14.0,High Risk
Bacterial Wilt,29.4,95.1,7.1,76.2,2.0,10.0,High Risk
Bacterial Wilt,27.6,97.1,15.7,80.7,0.2,13.4,High Risk
Bacterial Wilt,28.4,99.2,9.4,83.2,8.6,9.4,High Risk
Bacterial Wilt,33.3,91.0,12.9,97.4,5.8,7.4,High Risk
Bacterial Wilt,34.4,96.7,15.5,86.9,8.9,8.4,High Risk
Bacterial Wilt,26.9,89.0,18.5,79.3,6.0,9.9,High Risk
Bacterial Wilt,28.7,99.9,16.9,92.4,8.1,8.5,High Risk
Bacterial Wilt,34.3,85.4,15.1,98.0,4.3,7.0,High Risk
Bacterial Wilt,25.6,94.1,15.2,60.9,7.5,13.4,High Risk
Bacterial Wilt,25.9,94.9,19.2,99.3,9.1,12.9,High Risk
Bacterial Wilt,26.6,95.3,9.4,63.4,5.7,12.2,High Risk
Bacterial Wilt,31.0,86.8,5.0,92.6,1.8,8.2,High Risk
Bacterial Wilt,26.5,99.1,9.1,71.2,2.7,7.8,High Risk
Bacterial Wilt,34.7,87.7,8.3,65.3,2.0,7.5,High Risk
Bacterial Wilt,29.5,94.3,14.9,77.6,2.5,12.1,High Risk
Bacterial Wilt,30.0,88.3,14.5,85.8,3.1,13.5,High Risk
Bacterial Wilt,27.5,89.6,13.9,75.2,5.6,10.0,High Risk
Bacterial Wilt,29.7,93.2,5.2,62.2,5.9,7.8,High Risk
Bacterial Wilt,31.6,91.3,15.9,84.0,4.3,10.6,High Risk
Bacterial Wilt,32.5,87.4,9.9,96.1,6.2,9.4,High Risk
Bacterial Wilt,32.5,87.6,15.0,75.3,0.8,9.6,High Risk
Bacterial Wilt,30.8,91.3,13.3,68.7,0.9,11.3,High Risk
Bacterial Wilt,34.0,96.4,10.1,77.7,1.7,12.0,High Risk
Bacterial Wilt,33.2,98.5,7.0,61.9,5.2,7.8,High Risk
Bacterial Wilt,32.6,86.3,6.4,92.8,2.1,7.2,High Risk
Bacterial Wilt,25.6,90.9,17.5,93.1,2.8,14.0,High Risk
Bacterial Wilt,25.1,86.5,18.8,83.5,4.0,8.6,High Risk
Bacterial Wilt,27.1,85.2,14.7,74.1,8.1,7.4,High Risk
Bacterial Wilt,31.6,94.9,6.6,92.0,0.1,8.3,High Risk
Bacterial Wilt,29.1,94.0,11.0,82.2,6.5,7.3,High Risk
Bacterial Wilt,29.0,87.4,15.9,93.0,6.7,9.7,High Risk
Bacterial Wilt,33.8,88.5,16.7,85.3,8.0,12.6,High Risk
Bacterial Wilt,34.0,85.4,6.8,91.4,9.3,9.4,High Risk
Bacterial Wilt,34.1,97.5,5.0,83.9,0.2,10.1,High Risk
Bacterial Wilt,28.1,99.6,15.7,76.6,1.5,11.7,High Risk
Bacterial Wilt,31.9,87.0,10.3,98.3,8.9,10.6,High Risk
Bacterial Wilt,27.7,88.5,8.8,81.6,4.6,13.0,High Risk
Bacterial Wilt,26.9,98.0,5.2,84.2,5.6,13.1,High Risk
Bacterial Wilt,26.8,98.9,13.1,68.8,6.6,7.1,High Risk
Bacterial Wilt,28.4,91.3,17.8,85.0,6.8,12.4,High Risk
